,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
210,James Johnson,Forward,34.0,62.0,10.0,19.2,109.0,113.0,-2.7,0.6,50.7,10.0,9.8,12.7,2641.691,2881.021,4272.710300007506,3578.466759043293,3925.5885295253993
211,Keldon Johnson,Forward,22.0,75.0,74.0,31.9,114.0,114.0,0.7,-1.2,54.50000000000001,17.77777777777778,10.0,7.6,2145.72,2340.117,11153.427723484298,11673.080327827864,11413.25402565608
212,Keon Johnson,Guard,19.0,37.0,12.0,18.8,94.0,116.0,-4.0,-2.0,41.5,14.864864864864863,6.3,13.5,2553.24,2784.557,1702.505451383382,2555.451215005909,2128.9783331946455
213,Stanley Johnson,Forward,25.0,48.0,27.0,22.8,114.0,114.0,-2.8,0.1,53.2,21.15384615384616,7.6,11.0,1368.998,1493.025,4088.882550525409,2708.235609582224,3398.5590800538166
214,Nikola Jokic,Center,26.0,74.0,74.0,33.5,126.0,105.0,9.2,4.5,62.0,28.8135593220339,23.0,15.6,31044.906,33857.499,47232.520073111686,19183.515111544828,33208.01759232826
215,Damian Jones,Center,26.0,56.0,15.0,18.2,128.0,113.0,-0.2,0.5,67.7,35.41666666666667,13.2,15.4,1977.011,2156.123,2243.408921641989,3558.7045388128604,2901.056730227425
216,Derrick Jones,Forward,24.0,51.0,8.0,17.6,124.0,113.0,-1.5,0.5,59.0,28.94736842105264,10.6,11.7,9720.9,10601.59,794.9363520208383,6111.306458835341,3453.1214054280895
217,Kai Jones,Center,21.0,21.0,0.0,3.0,98.0,116.0,-5.2,-1.4,67.9,14.285714285714288,9.2,25.5,2770.56,3021.566,736.1009922465065,2474.2344610163145,1605.1677266314105
218,Tre Jones,Guard,22.0,69.0,11.0,16.6,120.0,114.0,-0.9,0.4,50.4,20.40816326530612,7.1,10.8,1517.981,1655.506,896.6295278974918,1797.009504540843,1346.8195162191673
219,Tyus Jones,Guard,25.0,73.0,23.0,21.2,125.0,112.0,1.2,0.5,52.400000000000006,9.210526315789473,5.9,7.3,8376.286,9135.157,5322.9413255241425,7282.474393755659,6302.707859639901
