,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
204,Cameron Johnson,Forward,24.0,60.0,11.0,24.0,0.0,-0.2,112.0,113.0,4235160,4867878
205,James Johnson,Forward,33.0,51.0,12.0,20.5,-2.7,1.5,103.0,111.0,16047100,18444482
206,Keldon Johnson,Forward,21.0,69.0,67.0,28.5,-0.9,-0.7,111.0,114.0,2048040,2354010
207,Stanley Johnson,Forward,24.0,61.0,13.0,16.5,-3.8,1.2,102.0,112.0,3804150,4372477
208,Tyler Johnson,Guard,28.0,39.0,3.0,17.5,-2.4,-1.0,111.0,117.0,2028594,2331659
209,Nikola Jokic,Center,25.0,72.0,72.0,34.6,9.1,3.0,130.0,109.0,29542010,33955486
210,Damian Jones,Center,25.0,39.0,10.0,14.0,-2.2,0.8,129.0,113.0,1487284,1709477
211,Derrick Jones,Forward,23.0,58.0,43.0,22.7,-1.4,0.0,121.0,116.0,9258000,10641113
212,Mason Jones,Guard,22.0,32.0,1.0,10.4,-1.4,-1.2,104.0,117.0,424544,487968
213,Tre Jones,Guard,21.0,37.0,1.0,7.3,-2.2,-1.3,112.0,117.0,898310,1032514
214,Tyus Jones,Guard,24.0,70.0,9.0,17.5,-0.1,0.9,115.0,112.0,8817143,10134394
215,DeAndre Jordan,Center,32.0,57.0,43.0,21.9,0.1,1.0,127.0,111.0,10375678,11925769
216,Cory Joseph,Guard,29.0,63.0,13.0,23.0,-1.8,0.0,112.0,116.0,12600000,14482397
217,Mfiondu Kabengele,Forward,23.0,39.0,0.0,7.2,-4.3,0.1,97.0,111.0,2432353,2795737
218,Frank Kaminsky,Center,27.0,47.0,13.0,15.2,0.4,0.8,117.0,110.0,1737145,1996668
219,Luke Kennard,Guard,24.0,63.0,17.0,19.6,0.3,-0.5,117.0,114.0,5273826,6061717
220,Maxi Kleber,Forward,29.0,50.0,40.0,26.8,-0.5,0.5,123.0,113.0,8475000,9741136
221,Nathan Knight,Forward,23.0,33.0,0.0,8.5,-2.6,-1.0,106.0,112.0,522989,601121
222,Kevin Knox,Forward,21.0,42.0,0.0,11.0,-1.7,0.4,104.0,110.0,4588680,5274213
223,John Konchar,Guard,24.0,43.0,0.0,13.4,-0.2,1.4,125.0,109.0,2100000,2413732
224,Furkan Korkmaz,Guard,23.0,55.0,11.0,19.3,-0.3,0.2,108.0,109.0,1762796,2026151
225,Luke Kornet,Center,25.0,31.0,2.0,11.2,-0.8,1.6,112.0,110.0,2250000,2586142
226,Rodions Kurucs,Forward,22.0,21.0,0.0,6.0,-6.4,1.8,79.0,109.0,1780152,2046100
227,Kyle Kuzma,Forward,25.0,68.0,32.0,28.7,-0.4,-0.1,105.0,109.0,3562178,4094355
228,Anthony Lamb,Forward,23.0,24.0,3.0,17.3,-3.4,-2.7,105.0,118.0,215330,247499
229,Jeremy Lamb,Guard,28.0,36.0,8.0,21.3,0.7,0.7,119.0,111.0,10500000,12068664
230,Zach LaVine,Guard,25.0,58.0,58.0,35.1,4.9,-0.8,115.0,114.0,19500000,22413234
231,Jake Layman,Forward,26.0,45.0,11.0,13.9,-2.2,0.2,107.0,115.0,3761085,4322978
232,Damion Lee,Guard,28.0,57.0,1.0,18.9,-0.7,0.9,121.0,111.0,1762796,2026151
233,Saben Lee,Guard,21.0,48.0,7.0,16.3,-2.1,0.2,112.0,113.0,516836,594049
234,Alex Len,Center,27.0,64.0,42.0,15.3,-1.2,1.0,119.0,110.0,3970648,4563848
235,Kawhi Leonard,Forward,29.0,52.0,52.0,34.1,6.0,1.3,126.0,110.0,34379100,39515221
236,Caris LeVert,Guard,26.0,47.0,39.0,31.6,0.9,-0.5,107.0,113.0,16203704,18624482
237,Kira Lewis,Guard,19.0,54.0,0.0,16.7,-3.2,-0.2,106.0,115.0,3640200,4184033
238,Damian Lillard,Guard,30.0,67.0,67.0,35.8,7.5,-1.3,125.0,118.0,31626953,36351912
239,Nassir Little,Forward,20.0,48.0,2.0,13.3,-1.1,-1.6,121.0,118.0,2210640,2540902
240,Kevon Looney,Center,24.0,61.0,34.0,19.0,-1.8,1.0,130.0,111.0,4821429,5541734
241,Brook Lopez,Center,32.0,70.0,70.0,27.2,0.0,0.0,121.0,111.0,12697675,14594664
242,Robin Lopez,Center,32.0,71.0,9.0,19.1,0.2,-1.2,124.0,116.0,7300000,8390595
243,Kevin Love,Forward,32.0,25.0,25.0,24.9,0.9,-0.9,108.0,113.0,31258256,35928133
244,Kyle Lowry,Guard,34.0,46.0,46.0,34.8,2.0,-0.4,117.0,115.0,30500000,35056596
245,Timothe Luwawu,Forward,25.0,58.0,7.0,18.1,-3.2,-1.2,100.0,116.0,1824003,2096502
246,Trey Lyles,Forward,25.0,23.0,9.0,15.6,-1.3,-0.5,116.0,114.0,5500000,6321681
