,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted
205,James Johnson,Forward,33.0,51.0,12.0,20.5,49.4,14.0625,9.3,13.2,16047100,18444482
206,Keldon Johnson,Forward,21.0,69.0,67.0,28.5,52.2,20.58823529411765,11.1,9.0,2048040,2354010
207,Stanley Johnson,Forward,24.0,61.0,13.0,16.5,47.9,18.421052631578945,8.4,17.4,3804150,4372477
208,Tyler Johnson,Guard,28.0,39.0,3.0,17.5,52.5,10.638297872340425,6.2,8.1,2028594,2331659
209,Nikola Jokic,Center,25.0,72.0,72.0,34.6,60.199999999999996,26.666666666666668,17.8,13.1,29542010,33955486
210,Damian Jones,Center,25.0,39.0,10.0,14.0,68.4,42.30769230769231,12.3,16.8,1487284,1709477
211,Derrick Jones,Forward,23.0,58.0,43.0,22.7,55.400000000000006,19.23076923076923,8.3,8.5,9258000,10641113
212,Mason Jones,Guard,22.0,32.0,1.0,10.4,52.0,34.21052631578947,8.8,16.1,424544,487968
213,Tre Jones,Guard,21.0,37.0,1.0,7.3,49.4,23.809523809523807,4.2,13.1,898310,1032514
214,Tyus Jones,Guard,24.0,70.0,9.0,17.5,48.5,10.169491525423728,6.1,10.0,8817143,10134394
215,DeAndre Jordan,Center,32.0,57.0,43.0,21.9,76.3,18.181818181818183,18.9,22.7,10375678,11925769
216,Cory Joseph,Guard,29.0,63.0,13.0,23.0,52.2,16.176470588235293,6.1,14.5,12600000,14482397
217,Mfiondu Kabengele,Forward,23.0,39.0,0.0,7.2,44.4,17.39130434782609,12.0,13.3,2432353,2795737
218,Frank Kaminsky,Center,27.0,47.0,13.0,15.2,53.1,14.545454545454547,14.9,7.2,1737145,1996668
219,Luke Kennard,Guard,24.0,63.0,17.0,19.6,59.699999999999996,6.060606060606061,7.3,10.1,5273826,6061717
220,Maxi Kleber,Forward,29.0,50.0,40.0,26.8,57.99999999999999,12.727272727272727,10.7,9.3,8475000,9741136
221,Nathan Knight,Forward,23.0,33.0,0.0,8.5,40.0,43.333333333333336,14.1,10.8,522989,601121
222,Kevin Knox,Forward,21.0,42.0,0.0,11.0,51.4,11.764705882352942,7.1,10.1,4588680,5274213
223,John Konchar,Guard,24.0,43.0,0.0,13.4,57.599999999999994,18.749999999999996,11.8,10.6,2100000,2413732
224,Furkan Korkmaz,Guard,23.0,55.0,11.0,19.3,52.0,14.285714285714288,5.9,9.1,1762796,2026151
225,Luke Kornet,Center,25.0,31.0,2.0,11.2,51.0,3.0303030303030307,10.7,6.3,2250000,2586142
226,Rodions Kurucs,Forward,22.0,21.0,0.0,6.0,43.8,6.666666666666667,9.8,27.8,1780152,2046100
227,Kyle Kuzma,Forward,25.0,68.0,32.0,28.7,53.300000000000004,9.00900900900901,12.0,12.4,3562178,4094355
228,Anthony Lamb,Forward,23.0,24.0,3.0,17.3,48.699999999999996,16.3265306122449,9.0,13.0,215330,247499
229,Jeremy Lamb,Guard,28.0,36.0,8.0,21.3,52.900000000000006,25.97402597402597,9.3,6.6,10500000,12068664
230,Zach LaVine,Guard,25.0,58.0,58.0,35.1,59.599999999999994,22.68041237113402,7.9,13.9,19500000,22413234
